"naics","lmo_ind_code","lmo_detailed_industry","aggregate_industry"
111,"ind01","farms_and_support_activities","agriculture_and_fishing"
112,"ind01","farms_and_support_activities","agriculture_and_fishing"
1151,"ind01","farms_and_support_activities","agriculture_and_fishing"
1152,"ind01","farms_and_support_activities","agriculture_and_fishing"
114,"ind02","fishing,_hunting_and_trapping","agriculture_and_fishing"
113,"ind03","forestry,_logging_and_support_activities","forestry,_logging_and_support_activities"
1153,"ind03","forestry,_logging_and_support_activities","forestry,_logging_and_support_activities"
211,"ind04","oil_and_gas_extraction","mining_and_oil_and_gas_extraction"
212,"ind05","mining","mining_and_oil_and_gas_extraction"
213,"ind06","support_activities_for_mining_and_oil_and_gas_extraction","mining_and_oil_and_gas_extraction"
22,"ind07","utilities","utilities"
311,"ind09","food,_beverage_and_tobacco_manufacturing","manufacturing"
312,"ind09","food,_beverage_and_tobacco_manufacturing","manufacturing"
321,"ind10","wood_product_manufacturing","manufacturing"
322,"ind11","paper_manufacturing","manufacturing"
331,"ind12","primary_metal_manufacturing","manufacturing"
332,"ind13","fabricated_metal_product_manufacturing","manufacturing"
333,"ind14","machinery_manufacturing","manufacturing"
3366,"ind15","ship_and_boat_building","manufacturing"
3361,"ind16","transportation_equipment_manufacturing_(excluding_shipbuilding)","manufacturing"
3362,"ind16","transportation_equipment_manufacturing_(excluding_shipbuilding)","manufacturing"
3363,"ind16","transportation_equipment_manufacturing_(excluding_shipbuilding)","manufacturing"
3364,"ind16","transportation_equipment_manufacturing_(excluding_shipbuilding)","manufacturing"
3365,"ind16","transportation_equipment_manufacturing_(excluding_shipbuilding)","manufacturing"
3369,"ind16","transportation_equipment_manufacturing_(excluding_shipbuilding)","manufacturing"
313,"ind17","other_manufacturing","manufacturing"
314,"ind17","other_manufacturing","manufacturing"
315,"ind17","other_manufacturing","manufacturing"
316,"ind17","other_manufacturing","manufacturing"
323,"ind17","other_manufacturing","manufacturing"
324,"ind17","other_manufacturing","manufacturing"
325,"ind17","other_manufacturing","manufacturing"
326,"ind17","other_manufacturing","manufacturing"
327,"ind17","other_manufacturing","manufacturing"
334,"ind17","other_manufacturing","manufacturing"
335,"ind17","other_manufacturing","manufacturing"
337,"ind17","other_manufacturing","manufacturing"
339,"ind17","other_manufacturing","manufacturing"
41,"ind18","wholesale_trade","wholesale_trade"
441,"ind19","motor_vehicle_and_parts_dealers","retail_trade"
446,"ind20","health_and_personal_care_stores","retail_trade"
4541,"ind21","online_shopping","retail_trade"
442,"ind22","other_retail_trade_(excluding_cars,_online_shopping_and_personal_care)","retail_trade"
443,"ind22","other_retail_trade_(excluding_cars,_online_shopping_and_personal_care)","retail_trade"
444,"ind22","other_retail_trade_(excluding_cars,_online_shopping_and_personal_care)","retail_trade"
445,"ind22","other_retail_trade_(excluding_cars,_online_shopping_and_personal_care)","retail_trade"
447,"ind22","other_retail_trade_(excluding_cars,_online_shopping_and_personal_care)","retail_trade"
448,"ind22","other_retail_trade_(excluding_cars,_online_shopping_and_personal_care)","retail_trade"
451,"ind22","other_retail_trade_(excluding_cars,_online_shopping_and_personal_care)","retail_trade"
452,"ind22","other_retail_trade_(excluding_cars,_online_shopping_and_personal_care)","retail_trade"
453,"ind22","other_retail_trade_(excluding_cars,_online_shopping_and_personal_care)","retail_trade"
4542,"ind22","other_retail_trade_(excluding_cars,_online_shopping_and_personal_care)","retail_trade"
4543,"ind22","other_retail_trade_(excluding_cars,_online_shopping_and_personal_care)","retail_trade"
481,"ind23","air_transportation_and_support_activities","transportation_and_warehousing"
4881,"ind23","air_transportation_and_support_activities","transportation_and_warehousing"
482,"ind24","rail_transportation_and_support_activities","transportation_and_warehousing"
4882,"ind24","rail_transportation_and_support_activities","transportation_and_warehousing"
483,"ind25","water_transportation","transportation_and_warehousing"
4883,"ind26","ports_and_freight_transportation_arrangement","transportation_and_warehousing"
4885,"ind26","ports_and_freight_transportation_arrangement","transportation_and_warehousing"
4889,"ind26","ports_and_freight_transportation_arrangement","transportation_and_warehousing"
484,"ind27","truck_transportation_and_support_activities","transportation_and_warehousing"
4884,"ind27","truck_transportation_and_support_activities","transportation_and_warehousing"
485,"ind28","transit,_sightseeing_and_pipeline_transportation","transportation_and_warehousing"
486,"ind28","transit,_sightseeing_and_pipeline_transportation","transportation_and_warehousing"
487,"ind28","transit,_sightseeing_and_pipeline_transportation","transportation_and_warehousing"
491,"ind29","postal_service,_couriers_and_messengers","transportation_and_warehousing"
492,"ind29","postal_service,_couriers_and_messengers","transportation_and_warehousing"
493,"ind30","warehousing_and_storage","transportation_and_warehousing"
521,"ind31","finance","finance,_insurance_and_real_estate"
522,"ind31","finance","finance,_insurance_and_real_estate"
523,"ind31","finance","finance,_insurance_and_real_estate"
526,"ind31","finance","finance,_insurance_and_real_estate"
524,"ind32","insurance_carriers_and_related_activities","finance,_insurance_and_real_estate"
53,"ind33","real_estate_and_rental_and_leasing","finance,_insurance_and_real_estate"
5413,"ind34","architectural,_engineering_and_related_services","professional,_scientific_and_technical_services"
5415,"ind35","computer_systems_design_and_related_services","professional,_scientific_and_technical_services"
5416,"ind36","management,_scientific_and_technical_consulting_services","professional,_scientific_and_technical_services"
5411,"ind37","legal,_accounting,_design,_research_and_advertising_services","professional,_scientific_and_technical_services"
5412,"ind37","legal,_accounting,_design,_research_and_advertising_services","professional,_scientific_and_technical_services"
5414,"ind37","legal,_accounting,_design,_research_and_advertising_services","professional,_scientific_and_technical_services"
5417,"ind37","legal,_accounting,_design,_research_and_advertising_services","professional,_scientific_and_technical_services"
5418,"ind37","legal,_accounting,_design,_research_and_advertising_services","professional,_scientific_and_technical_services"
5419,"ind37","legal,_accounting,_design,_research_and_advertising_services","professional,_scientific_and_technical_services"
