stokes_industry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
accommodation_food_services: from stokes,172400,184000,182700,183600,186100,176900,185100,195100,200500,202100,173400,177400,184300,189100,191600,194600,196600,198600,201100,203900,206500,209700,212800,214900
accommodation_food_services: to stokes,167312,180042,187375,183563,186083,176854,185146,195104,200479,202104,173375,177437,184313,189104,191420,194215,197199,199433,201540,203566,205514,207623,209426,211458
agriculture: from stokes,29700,24200,20900,27000,25400,25700,22800,24100,24000,24400,28200,21200,23600,24900,25000,25000,25000,25000,25100,25100,25100,25200,25200,25200
agriculture: to stokes,27875,23333,22312,25271,23583,23875,21854,22729,23396,23708,26917,20083,22375,24420,24426,24442,24412,24422,24469,24516,24563,24611,24659,24706
construction: from stokes,198400,195200,194300,212600,208900,211800,220000,239800,246500,250100,227400,227100,235900,231400,228300,230100,233100,236300,238200,239000,241200,242500,244500,246400
construction: to stokes,197458,202479,202688,212605,208917,211834,220000,239812,246542,250084,227375,227083,235916,230895,227073,228522,232511,234852,236031,238677,240130,242372,244398,245635
education_services: from stokes,151900,153600,167400,165400,167300,170300,172300,172500,168600,177100,173200,185700,201400,195000,194900,198600,200900,203500,205200,207300,209200,211300,214000,216900
education_services: to stokes,156563,156813,167376,165396,167271,170250,172333,172500,168646,177062,173209,185708,201418,194049,196434,199237,200471,202888,205248,207754,210454,213153,215812,218177
finance_insurance_real_estate: from stokes,139900,140000,138600,148700,150100,140900,150500,167000,166100,168400,170100,168900,161900,164000,164400,164800,164700,164900,165900,167200,168800,170500,172100,173700
finance_insurance_real_estate: to stokes,136563,137230,143417,148729,150125,140916,150521,167000,166125,168354,170125,168876,161896,164992,165912,166823,167948,169353,170360,171738,173161,174743,176378,177742
government_services: from stokes,104700,106700,103000,106600,108500,107300,111900,105400,109000,121800,121000,137600,136800,137700,138000,139300,140700,142500,144500,146400,148400,150300,152200,154200
government_services: to stokes,105293,107062,102729,106625,108478,107312,111917,105375,109000,121750,120980,137563,136791,138188,139608,141060,142220,143616,145258,146917,148598,150085,151703,153341
health_social_services: from stokes,263800,260500,271600,261500,268500,286200,297800,310000,327700,328100,321500,351700,368900,377700,382100,388100,395800,403800,412000,420100,428300,436300,444700,452900
health_social_services: to stokes,261667,254666,264104,261499,268500,286167,297791,309979,327729,328126,321459,351687,368853,377541,382747,389604,395701,402299,409889,417672,425342,432810,440433,445992
manufacturing: from stokes,154600,156500,168400,158800,167700,177200,177700,184200,181400,172600,167800,183500,184100,180200,181000,180800,180500,180300,181300,182200,183800,185300,186700,186800
manufacturing: to stokes,164396,165458,173728,158791,167688,177167,177707,184188,181396,172647,167832,183500,184105,181302,182155,182413,182701,182595,183719,184812,186310,188151,189503,191120
oil_gas: from stokes,3000,3500,3300,4900,7100,5500,3800,5200,4200,5400,6000,4700,4600,4900,5200,5500,5800,5700,5600,5500,5500,5600,5600,5700
oil_gas: to stokes,2917,3375,3625,4938,7062,5521,3771,5229,4229,5438,6021,4667,4604,5000,5102,5384,5740,5822,5658,5522,5521,5718,5886,5813
other_other_primary: from stokes,38700,35300,43000,44800,45600,47900,47700,47100,45200,40800,36200,43700,43600,41900,42100,41900,41900,42000,42200,42200,42300,42300,42400,42300
other_other_primary: to stokes,36563,36709,40562,42937,45312,47625,47124,44437,42124,38812,35583,41937,40958,41424,41783,42376,42611,41993,41659,41388,41273,41440,41660,41741
other_primary: from stokes,41700,38800,46300,49700,52700,53400,51500,52300,49400,46200,42200,48400,48200,46800,47300,47400,47600,47700,47800,47700,47800,47900,48000,47900
other_primary: to stokes,39480,40084,44187,47875,52374,53146,50895,49666,46353,44250,41604,46604,45562,46424,46885,47760,48350,47816,47317,46909,46794,47158,47546,47554
other_services: from stokes,208200,205100,222500,214700,215800,229700,238300,251900,251500,251500,205400,236400,246600,251100,254900,258100,260100,262200,264400,266600,269000,271700,274200,276900
other_services: to stokes,206040,205979,221978,214687,215835,229709,238332,251854,251522,251459,205354,236417,246646,251333,254332,257538,259281,260928,263697,266896,269859,272505,275008,277501
professional_scientific_managerial: from stokes,258500,268400,267400,277500,272500,288100,302100,310000,321800,353800,336900,360100,364200,371100,379500,387700,395500,403800,413200,421600,431300,440600,449300,457500
professional_scientific_managerial: to stokes,258625,275084,275271,277521,272458,288063,302062,309999,321812,353792,336875,360083,364209,369664,376097,384044,392036,400359,409497,419743,427987,435335,443022,453920
trade: from stokes,369500,351500,350300,375000,370800,363400,383900,395500,400700,420800,388800,401900,434200,425800,430300,433800,437300,441100,446400,451400,456400,461800,466800,471700
trade: to stokes,373563,351812,345208,375042,370771,363395,383856,395541,400687,420771,388834,401917,434209,426913,431634,436719,440755,445690,451318,456843,462563,468172,473837,479536
transportation_warehousing: from stokes,117600,122500,130500,127500,141100,143900,141300,141100,144100,147100,135000,146100,142700,147300,150700,153200,154400,155600,157200,158900,160500,162600,164200,165700
transportation_warehousing: to stokes,113186,120437,128582,127544,141125,143874,141313,141105,144083,147146,134980,146104,142686,147147,150039,151990,153379,154609,156430,158332,160207,161583,162932,164288
utilities: from stokes,12200,10300,10500,13300,14000,14300,12600,11500,15000,13800,18400,17900,15000,16300,16600,16600,16700,16700,16800,16800,16900,17000,17100,17100
utilities: to stokes,10833,11208,12521,13333,13979,14312,12646,11458,15000,13833,18396,17917,15042,16095,16193,16174,16256,16297,16377,16433,16493,16556,16610,16716
